feature,role,dtype,action,reason
CustomerID,identifier,int64,drop,用户编号只用于追踪
Churn,target,int64,separate,这是要预测的答案
Tenure,numeric_feature,float64,numeric_pipeline,进入数值处理流程
PreferredLoginDevice,categorical_feature,str,one_hot,文字类别需要转成0/1列
CityTier,numeric_feature,int64,numeric_pipeline,进入数值处理流程
WarehouseToHome,numeric_feature,float64,numeric_pipeline,进入数值处理流程
PreferredPaymentMode,categorical_feature,str,one_hot,文字类别需要转成0/1列
Gender,categorical_feature,str,one_hot,文字类别需要转成0/1列
HourSpendOnApp,numeric_feature,float64,numeric_pipeline,进入数值处理流程
NumberOfDeviceRegistered,numeric_feature,int64,numeric_pipeline,进入数值处理流程
PreferedOrderCat,categorical_feature,str,one_hot,文字类别需要转成0/1列
SatisfactionScore,numeric_feature,int64,numeric_pipeline,进入数值处理流程
MaritalStatus,categorical_feature,str,one_hot,文字类别需要转成0/1列
NumberOfAddress,numeric_feature,int64,numeric_pipeline,进入数值处理流程
Complain,numeric_feature,int64,numeric_pipeline,进入数值处理流程
OrderAmountHikeFromlastYear,numeric_feature,float64,numeric_pipeline,进入数值处理流程
CouponUsed,numeric_feature,float64,numeric_pipeline,进入数值处理流程
OrderCount,numeric_feature,float64,numeric_pipeline,进入数值处理流程
DaySinceLastOrder,numeric_feature,float64,numeric_pipeline,进入数值处理流程
CashbackAmount,numeric_feature,float64,numeric_pipeline,进入数值处理流程
TenureGroup,derived_feature,str,candidate,由已有字段转换得到
IsMobileLogin,derived_feature,int64,candidate,由已有字段转换得到
