处理步骤,处理规则,处理前记录数,处理后记录数,影响记录数
缺失值填补,Tenure 中位数填补,5630,5630,264
缺失值填补,WarehouseToHome 中位数填补,5630,5630,251
缺失值填补,HourSpendOnApp 中位数填补,5630,5630,255
缺失值填补,OrderAmountHikeFromlastYear 中位数填补,5630,5630,265
缺失值填补,CouponUsed 中位数填补,5630,5630,256
缺失值填补,OrderCount 中位数填补,5630,5630,258
缺失值填补,DaySinceLastOrder 中位数填补,5630,5630,307
类别标准化,PreferredLoginDevice: Phone -> Mobile Phone,5630,5630,1231
类别标准化,PreferredPaymentMode: COD -> Cash on Delivery,5630,5630,365
类别标准化,PreferredPaymentMode: CC -> Credit Card,5630,5630,273
类别标准化,PreferedOrderCat: Mobile -> Mobile Phone,5630,5630,809
数据类型转换,Churn/Complain 转 int,5630,5630,0
