TenureGroup,CityTier,用户数,流失人数,流失率,平均订单数,平均返现金额,样本提示
0-1年,1,744,355,0.4771505376344086,2.3118279569892475,148.94271505376344,可观察
0-1年,2,46,36,0.782608695652174,2.0217391304347827,147.3582608695652,可观察
0-1年,3,408,230,0.5637254901960784,2.480392156862745,161.97615196078434,可观察
1-5年,1,483,36,0.07453416149068323,2.587991718426501,164.17426501035197,可观察
1-5年,2,22,0,0.0,2.0454545454545454,164.83272727272725,小样本
1-5年,3,264,32,0.12121212121212122,2.8295454545454546,173.24159090909092,可观察
5-10年,1,910,81,0.08901098901098901,2.6395604395604395,156.04138461538463,可观察
5-10年,2,62,12,0.1935483870967742,1.6129032258064515,145.8741935483871,可观察
5-10年,3,419,54,0.1288782816229117,2.7971360381861574,171.27193317422436,可观察
10-15年,1,571,18,0.03152364273204904,3.413309982486865,184.67803852889668,可观察
10-15年,2,48,0,0.0,3.75,196.63583333333335,可观察
10-15年,3,273,36,0.13186813186813187,3.5274725274725274,190.52106227106228,可观察
15年以上,1,958,42,0.04384133611691023,3.4812108559498958,214.0143319415449,可观察
15年以上,2,64,0,0.0,3.203125,220.26875,可观察
15年以上,3,358,16,0.0446927374301676,4.195530726256983,213.96536312849165,可观察
